datestamp	certsIssued	certsActive	fqdnsActive	regDomainsActive
2016-08-17	97683	5154746	NULL	NULL
2016-08-18	50521	5176628	NULL	NULL
2016-08-19	42761	5201247	NULL	NULL
2016-08-20	37901	5220074	NULL	NULL
2016-08-21	44907	5240919	NULL	NULL
2016-08-22	47109	5263115	NULL	NULL
2016-08-23	51783	5288873	NULL	NULL
2016-08-24	57474	5322023	NULL	NULL
2016-08-25	47413	5343626	NULL	NULL
2016-08-26	44042	5370399	NULL	NULL
2016-08-27	41409	5391607	NULL	NULL
2016-08-28	45654	5411323	NULL	NULL
2016-08-29	64683	5429623	NULL	NULL
2016-08-30	50376	5403950	8770554	3851068
2016-08-31	65888	5370475	NULL	NULL
2016-09-01	69851	5376299	NULL	NULL
2016-09-02	49817	5369188	NULL	NULL
2016-09-03	39434	5361320	NULL	NULL
2016-09-04	46012	5355297	NULL	NULL
2016-09-05	49018	5341352	NULL	NULL
2016-09-06	48345	5336297	NULL	NULL
2016-09-07	48775	5330761	NULL	NULL
2016-09-08	45401	5323693	NULL	NULL
2016-09-09	50613	5328735	NULL	NULL
2016-09-10	52870	5333195	NULL	NULL
2016-09-11	49450	5320382	NULL	NULL
2016-09-12	51298	5264940	NULL	NULL
2016-09-13	52803	5171574	NULL	NULL
2016-09-14	58550	5190840	9261573	3995101
2016-09-15	60625	5227013	9322521	4038262
2016-09-16	58007	5257492	9373429	4034082
2016-09-17	45470	5272797	9401291	4044331
2016-09-18	50255	5290182	9430311	4054567
2016-09-19	55815	5359004	9531714	4098932
