2017-01-22	180807	20947738	24876778	11962477
2017-01-23	162841	20989488	24918048	11979258
2017-01-24	158107	21049056	24997641	12009413
2017-01-25	193998	21147398	25093170	12043044
2017-01-26	179760	21246633	25214989	12089866
2017-01-27	203510	21365198	25355674	12142629
2017-01-28	193750	21500865	25492879	12189738
2017-01-29	181736	21616173	25566806	12216281
2017-01-30	168366	21650439	25650002	12244008
2017-01-31	241878	21746038	25809520	12305794
2017-02-01	381735	22031758	26030614	12395148
2017-02-02	265509	22208196	26271141	12489777
2017-02-03	261260	22377944	26484871	12566407
2017-02-04	275701	22517681	26593566	12613985
2017-02-05	243561	22667440	26666962	12640730
2017-02-06	220706	22763835	26713029	12658430
2017-02-07	656310	23234314	26747217	12678478
2017-02-08	603296	23682410	26870265	12720541
2017-02-09	584518	24126288	27052519	12780005
2017-02-10	910821	24941129	27209752	12835314
2017-02-11	1022929	25887841	27322977	12875959
2017-02-12	603030	26406400	27385486	12900815
2017-02-13	681515	26969295	27442474	12924255
2017-02-14	479969	27238512	27525462	12960415
2017-02-15	577825	27701643	27722310	13020342
2017-02-16	462126	28043807	27905902	13082493
2017-02-17	431678	28359879	28021807	13123770
2017-02-18	466033	28737306	28119412	13158195
2017-02-19	203093	28839091	28170925	13173554
2017-02-20	180427	28913805	28214275	13190529
2017-02-21	260231	29078183	28291739	13223661
2017-02-22	183520	29157336	28400458	13266553
2017-02-23	252009	29313723	28532328	13314817
2017-02-24	211705	29404745	28654293	13357831
2017-02-25	436432	29753749	28768375	13397677
2017-02-26	346874	29989276	28821505	13418537
2017-02-27	167682	30004536	28862720	13435397
2017-02-28	272353	30049237	29192433	13541893
2017-03-01	261364	30097588	29565284	13656963
2017-03-02	209191	29758376	29675731	13696212
2017-03-03	176462	29736009	29779811	13737893
2017-03-04	213503	29792832	29865365	13771782
2017-03-05	175719	29690972	29925821	13797892
2017-03-06	179982	29619704	29974427	13818226
2017-03-07	198594	29326673	30060432	13847603
2017-03-08	197745	28915671	30145165	13878886
2017-03-09	289943	28672441	30224403	13901249
2017-03-10	201705	27563784	30279432	13908491
2017-03-11	328755	27052163	30412911	13962610
2017-03-12	465478	26420864	30467612	13961504
2017-03-13	486686	25896177	30587320	14011774
2017-03-14	608541	25931150	30772097	14090180
2017-03-15	525566	26185069	30958894	14171328
2017-03-16	469710	26331539	31048724	14203153
2017-03-17	447207	26638314	31129782	14236012
2017-03-18	443578	26971281	31218232	14266100
2017-03-19	413219	27258620	31259689	14281466
2017-03-20	423564	27433847	31291546	14291948
2017-03-21	381393	27645069	31375209	14323769
2017-03-22	361490	27857327	31491857	14364335
2017-03-23	217878	27876087	31583291	14395225
2017-03-24	217116	27913426	31664557	14425293
2017-03-25	205505	28011935	31761822	14461967
2017-03-26	262469	28165472	31821765	14484704
2017-03-27	251336	28312129	31875033	14505493
2017-03-28	256409	28398249	31964735	14540792
2017-03-29	225393	28485750	32066800	14577106
2017-03-30	280095	28630354	32207057	14619044
2017-03-31	227906	28737825	32337146	14655906
2017-04-01	256851	28866165	32433547	14692401
2017-04-02	355315	29086974	32508839	14724405
2017-04-03	292618	29217499	32555632	14744575
2017-04-04	285517	29334463	32659781	14784538
2017-04-05	332252	29375725	32762942	14824446
2017-04-06	304608	29332466	32862482	14858898
2017-04-07	261891	29186352	32961209	14895586
2017-04-08	429842	29281545	33043227	14928784
2017-04-09	436538	29263372	33078088	14941351
2017-04-10	477047	29342295	33095335	14949065
2017-04-11	611284	29298158	33166708	14971411
2017-04-12	636699	29661782	33312956	15008149
2017-04-13	614017	29972499	33646233	15049095
2017-04-14	636182	30386830	34114822	15124615
2017-04-15	593574	30767091	34293273	15158032
2017-04-16	542725	31144027	34361134	15175123
2017-04-17	574701	31514412	34419596	15189334
2017-04-18	618457	31953308	34607711	15224350
2017-04-19	581717	32363244	34974167	15281101
2017-04-20	534284	32751232	35347894	15353976
2017-04-21	451917	32968961	35717390	15418623
2017-04-22	528418	33316768	35991183	15472090
2017-04-23	526824	33680958	36092066	15497215
2017-04-24	565961	34089014	36193145	15520419
2017-04-25	781611	34676885	36618086	15560968
2017-04-26	483801	34981179	36889346	15612813
2017-04-27	361688	35139517	37088602	15670571
2017-04-28	230209	35175971	37221165	15703233
2017-04-29	227648	35221887	37350858	15735850
2017-04-30	212785	35266373	37424839	15752475
2017-05-01	322480	35346940	37484395	15763908
2017-05-02	369936	35334972	37536668	15770945
2017-05-03	321630	35391104	37662816	15799952
2017-05-04	275117	35405117	37792808	15829993
2017-05-05	254437	35383858	37985551	15858683
2017-05-06	327119	35467390	38202910	15900791
2017-05-07	285006	35531710	38307247	15917240
2017-05-08	315406	35190527	38364285	15898533
